Aesthetic1	Aesthetic2	MotifsShared	ColoursShared	ValuesShared
1999 Mundane Office Space	Corporate	1	2	2
1999 Mundane Office Space	Yuppie	2	4	2
1999 Mundane Office Space	International Typographic Style	2	1	2
1999 Mundane Office Space	Office Siren	2	2	1
1999 Mundane Office Space	Power Dressing	2	3	2
1999 Mundane Office Space	Preppy	1	1	2
1999 Mundane Office Space	Mallsoft	2	2	2
1999 Mundane Office Space	Liminal Space	2	2	2
1999 Mundane Office Space	Doomer	2	2	2
2000s Preppy	Barbiecore	1	2	1
2000s Preppy	Basic Girl	2	2	1
2000s Preppy	Boujee	2	2	1
2000s Preppy	Bubblegum Bitch	2	2	1
2000s Preppy	High School Dream	1	2	1
2000s Preppy	Old Money	1	2	1
2000s Preppy	Preppy	1	1	1
2000s Preppy	Surfer	2	2	1
2000s Preppy	Tweencore	1	2	1
2010s Internet	2014 Tumblr	1	1	1
2010s Internet	Bubblegum Dance	2	1	2
2010s Internet	Digital Horror	2	1	2
2010s Internet	Frutiger Aero	2	1	1
2010s Internet	Frutiger Metro	2	1	1
2010s Internet	Gamercore	2	1	1
2010s Internet	Geek	2	1	2
2010s Internet	Glitter Graphics	2	1	2
2010s Internet	Hipster	2	1	2
2010s Internet	Internet Awesomesauce	2	1	2
2010s Internet	Krocha	2	1	2
2010s Internet	Meme Rap	2	1	2
2010s Internet	Nerd	2	1	2
2010s Internet	Pastel Goth	2	1	1
2010s Internet	Poster Gal	1	1	1
2010s Internet	Scene	2	1	2
2010s Internet	Skeuomorphism	2	1	1
2010s Internet	Tecktonik	2	1	1
2010s Internet	Vaporwave	2	1	1
2010s Internet	Yandere	2	1	1
2010s Internet	Y2K Futurism	2	1	1
2014 Girly	2014 Tumblr	1	1	1
2014 Girly	Barbiecore	1	2	2
2014 Girly	Pink Princess	1	2	2
2014 Girly	Quality Tumblr	1	2	1
2014 Girly	Shabby Chic	1	2	1
2020s Gamer	Cyberpunk	2	4	1
2020s Gamer	E-Girl	1	1	1
2020s Gamer	Gamercore	2	2	1
2020s Gamer	Hexatron	2	2	1
2020s Gamer	Kawaii Gamer	2	2	1
2020s Gamer	Synthwave	2	2	1
2020 TikTok	2020s Gamer	1	1	1
50s Suburbia	Americana	1	2	2
50s Suburbia	American Kitsch	1	1	1
50s Suburbia	Diner	1	2	1
50s Suburbia	Dreamcore	1	2	2
50s Suburbia	Suburban Gothic	1	3	2
50s Suburbia	Vintage Americana	1	3	2
90s Cool	Y2K Futurism	2	3	1
90s Cool	Techwear	1	2	2
90s Cool	Metalheart	2	3	1
90s Cool	Nu-Metal	1	2	2
90s Cool	Cyberdelic	2	2	1
90s Cool	Olderbrothercore	2	3	1
90s Cool	Abstract Tech	2	4	2
90s Cool	Alternative	1	2	2
90s Cool	Berlin Techno Fashion	2	2	2
90s Cool	Biopunk	1	1	2
90s Cool	Corporate Grunge	2	2	1
90s Cool	Cyberprep	2	2	2
90s Cool	Cyberpunk	2	2	2
90s Cool	Gen X Soft Club	2	2	2
90s Cool	Industrial	2	2	2
90s Cool	Y2K	1	1	1
90s Cool	Chromecore	2	4	1
90s Cool	Teenpunk	2	2	2
90s Cool	Poster Gal	1	3	1
Abstract Tech	DORFic	3	2	2
Abstract Tech	Hexatron	3	4	1
Abstract Tech	Corporate	1	3	2
Abstract Tech	Cybermorphism	1	1	1
Abstract Tech	Cyberprep	2	2	2
Abstract Tech	Cyberpunk	2	2	2
Abstract Tech	Dark Aero	2	2	1
Abstract Tech	Frutiger Aero	2	3	1
Abstract Tech	Frutiger Eco	2	2	2
Abstract Tech	Hacker	2	3	2
Abstract Tech	Med-Tech Visions	2	3	1
Abstract Tech	Metalheart	2	2	1
Abstract Tech	Robotcore	2	3	2
Abstract Tech	Skeuomorphism	2	2	1
Abstract Tech	Vectorheart	2	2	1
Abstract Tech	Y2K Futurism	2	4	1
Acid Design	Acid House	2	2	2
Acid Design	Cyberdelic	2	2	1
Acid Design	Cyberpunk	2	2	2
Acid Design	International Typographic Style	2	1	2
Acid Design	New Beat	2	2	2
Acid Design	Hipness Purgatory	2	2	2
Acid Design	Neubrutalism	2	2	2
Acid Design	Psychedelia	2	1	2
Acid Design	Racing	2	2	2
Acid Design	Retrofuturism	2	2	1
Acid Design	Synthwave	2	2	1
Acid Design	Y2K Futurism	2	2	1
Acid House	Balearic Beat	2	1	2
Acid House	Club	1	1	2
Acid House	Cyberdelic	2	2	1
Acid House	Disco	2	2	2
Acid House	Electronic Body Music	2	2	2
Acid House	Gabber	2	1	2
Acid House	Hip-Hop	2	2	2
Acid House	Madchester	2	2	2
Acid House	New Beat	3	2	2
Acid House	Psychedelia	2	1	2
Acid House	Rave	2	2	4
Acid House	Slimepunk	2	2	2
Adventure Pulp	Adventurecore	4	2	1
Adventure Pulp	Americana	2	2	2
Adventure Pulp	Atompunk	2	1	2
Adventure Pulp	Cryptidcore	2	2	2
Adventure Pulp	Desert	2	3	2
Adventure Pulp	Dieselpunk	2	2	1
Adventure Pulp	Junglecore	2	2	2
Adventure Pulp	Pirate	1	2	1
Adventure Pulp	Safari	2	2	2
Adventure Pulp	Spy Fiction	1	2	1
Adventure Pulp	Tiki	2	3	2
Adventure Pulp	Tropical	2	3	2
Adventure Pulp	Utopian Scholastic	2	2	1
Adventure Pulp	Victorian	2	2	2
Adventure Pulp	Western	2	2	2
Adventurecore	Cabincore	2	3	1
Adventurecore	Campcore	2	2	1
Adventurecore	Cryptidcore	2	2	1
Adventurecore	Desert	2	4	1
Adventurecore	Goblincore	2	2	1
Adventurecore	Junglecore	2	3	1
Adventurecore	Naturecore	2	2	1
Adventurecore	Stalker	2	2	1
Adventurecore	Wuxia	2	2	1
Aestheticism	Arts and Crafts	1	1	1
Aestheticism	Art Nouveau	2	2	1
Aestheticism	Decadence	2	2	3
Aestheticism	Japonisme	2	2	2
Aestheticism	Pre-Raphaelite	2	1	2
Aestheticism	Romanticism	2	1	1
Aestheticism	Victorian	2	2	2
Aetherpunk	Dungeonpunk	2	1	2
Aetherpunk	Fantasy	2	1	2
Aetherpunk	Steampunk	2	2	2
Afrofuturism	Androgynous	2	2	2
Afrofuturism	Art Hoe	2	2	2
Afrofuturism	Cyber Ghetto	2	2	2
Afrofuturism	Cyberpunk	3	2	2
Afrofuturism	Indigenous Futurisms	2	2	2
Afrofuturism	Retrofuturism	2	2	1
Afrofuturism	Solarpunk	2	2	2
Afrofuturism	Synthwave	2	2	1
Afrofuturism	Afropunk	2	1	2
Afropunk	Alternative	1	1	2
Afropunk	Funk	2	1	2
Afropunk	Punk	3	1	2
Afropunk	Hip-Hop	2	1	3
Afropunk	Nu-Metal	1	1	2
Afropunk	Rockabilly	2	1	2
After Hours	City Pop	2	1	1
After Hours	Doomer	2	2	1
After Hours	Ethereal	2	2	1
After Hours	Film Noir	2	2	1
After Hours	Industrial Decay	2	2	1
After Hours	Liminal Space	2	2	1
After Hours	Mallsoft	2	2	1
After Hours	Post-Apocalyptic	2	2	1
After Hours	Seapunk	2	2	1
After Hours	Synthwave	2	2	1
After Hours	Urbancore	2	2	1
After Hours	Vaporwave	2	2	1
Alien	Cryptidcore	2	2	3
Alien	Galaxy Hipster	2	2	2
Alien	Holosexual	1	2	1
Alien	Rave	2	2	2
Alien	Spacecore	1	6	1
Alien	Synthwave	2	3	1
Alien	Vaporwave	2	3	1
2020 TikTok	Alternative	1	1	1
Alternative	Beatnik	1	2	2
Alternative	Emo	1	2	1
Alternative	Girl Crush	1	2	2
Alternative	Goth	1	2	2
Alternative	Grunge	1	2	2
Alternative	Indie	1	2	2
Alternative	Nu-Metal	1	2	2
Alternative	Punk	1	2	2
Alternative	Post-Punk	1	1	1
American Kitsch	Americana	1	1	1
American Kitsch	Camp	1	1	1
American Kitsch	Diner	1	1	1
American Kitsch	Heroic Realism	1	1	1
American Kitsch	Pin-up	1	1	1
American Kitsch	Raggare	1	1	1
American Kitsch	Vintage Americana	1	1	1
Adventurecore	American Pioneers	2	1	1
American Pioneers	Americana	2	1	2
American Pioneers	Campcore	2	1	1
American Pioneers	Cottagecore	2	1	2
American Pioneers	Prairie	2	1	2
American Pioneers	Western	2	1	2
American Thanksgiving	Americana	2	2	2
American Thanksgiving	Autumn	1	2	2
American Thanksgiving	Christian Girl Autumn	1	1	1
American Thanksgiving	Halloween	2	2	2
American Thanksgiving	Historical Americana	1	2	2
Americana	Cottagecore	2	2	2
Americana	Country	1	2	2
Americana	Flapper	1	2	2
Americana	Greaser	2	3	2
Americana	Minet	1	1	1
Americana	Nostalgiacore	1	1	1
Americana	Paninaro	1	2	2
Americana	Prairie	2	3	2
Americana	Raggare	2	2	2
Americana	Rockabilly	2	2	2
Americana	Scrapper	2	3	2
Americana	Stilyagi	2	2	2
Americana	Western	2	2	2
Americana	Vintage Americana	2	4	2
Analog Horror	Digital Horror	3	1	2
Analog Horror	Glitch Art	3	2	2
Analog Horror	Horror	2	2	2
Analog Horror	Liminal Space	2	2	2
Analog Horror	Weirdcore	2	1	2
Ancient Egypt	Hellenic	3	5	1
Ancient Egypt	Art Deco	2	2	1
Ancient Egypt	Barber Salon	2	4	1
Ancient Egypt	Hyperborean	2	1	1
Androgynous	Club Kids	2	2	2
Androgynous	Cybergoth	2	2	2
Androgynous	Deathrock	2	2	1
Androgynous	Femboy	2	2	2
Androgynous	Glam Rock	2	2	2
Androgynous	Goth	2	2	2
Androgynous	Heroin Chic	2	2	2
Androgynous	Minet	1	1	1
Androgynous	New Romantic	1	2	1
Androgynous	Power Dressing	2	2	2
Androgynous	Queercore	2	2	2
Androgynous	Succubus Chic	2	2	2
Androgynous	Tomboy	2	2	2
Androgynous	Trad Goth	2	2	2
Androgynous	Visual Kei	1	1	1
Angelcore	Baroque	1	5	2
Angelcore	Devilcore	2	2	2
Angelcore	Dreamy	2	4	2
Angelcore	Ethereal	2	2	3
Angelcore	Hellenic	2	5	2
Angelcore	Neoclassicism	1	1	2
Angelcore	Rococo	2	2	2
Angelcore	Babycore	2	4	2
Angelcore	Delicate Sweet	2	2	3
Angelcore	Lovecore	3	2	2
Angelcore	Coquette	1	1	1
Angelcore	Goth	2	3	2
Angelcore	Dark Naturalism	2	3	1
Angelcore	Traumacore	2	2	1
Angelcore	Grunge	2	3	2
Angelcore	Catholic Horror	2	4	2
After Hours	Anglo Gothic	3	2	1
Anglo Gothic	Chav	2	3	2
Anglo Gothic	Dark Academia	2	3	2
Anglo Gothic	Regional Gothic	1	1	1
Anglo Gothic	Suburban Gothic	2	2	2
Anglo Gothic	Goth	2	2	2
Anglo Gothic	Trad Goth	2	2	2
Anglo Gothic	Post-Punk	1	1	1
Anglo Gothic	Cryptidcore	2	2	2
Anglo Gothic	Britpop	1	1	1
Angura	Goth	2	3	1
Angura	Visual Kei	1	1	1
2020 TikTok	Animecore	1	1	1
Animecore	Cutecore	3	2	2
Animecore	E-Girl	1	1	2
Animecore	Erokawa	1	2	1
Animecore	Femcel Weeaboo	2	1	2
Animecore	Glitter Graphics	2	2	2
Animecore	Goth Punk	1	2	1
Animecore	Kawaii	2	2	2
Animecore	Kawaii Gamer	2	2	2
Animecore	Magical Girl	2	2	2
Animecore	Moe	2	2	1
Animecore	Nanchatte Seifuku	2	1	2
Animecore	Neko	2	2	2
Animecore	Lolicore	2	2	2
Animecore	PC-98	2	2	2
Animecore	Superflat	2	1	2
Animecore	Weeaboo	2	1	1
Animecore	Yami Kawaii	2	2	2
Animecore	Yume Kawaii	2	2	2
Anti-Fashion	Avant-garde	2	1	1
Anti-Fashion	Club Kids	2	1	1
Anti-Fashion	Grunge	2	1	1
Anti-Fashion	Normcore	2	1	1
Anti-Fashion	Punk	2	1	1
Adventurecore	Appalachian Gothic	2	2	1
Appalachian Gothic	Suburban Gothic	2	2	2
Appalachian Gothic	Regional Gothic	1	1	1
Appalachian Gothic	Cabincore	2	2	2
After Hours	Appalachian Gothic	2	2	1
Appalachian Gothic	Cryptidcore	2	2	2
Appalachian Gothic	Midwest Gothic	2	1	1
Appalachian Gothic	Southern Gothic	2	2	1
Appalachian Gothic	New England Gothic	2	2	2
Appalachian Gothic	Gothic	2	2	2
Appalachian Gothic	Dark Naturalism	2	2	1
Ancient Egypt	Arabian Nights	2	3	1
Arabian Nights	Baroque	1	4	3
Arabian Nights	Desert	2	3	2
Arabian Nights	Hellenic	2	3	2
Arabian Nights	Romanticism	2	1	1
Arabian Nights	Royalcore	1	3	2
Analog Horror	Arcadecore	2	2	2
Animecore	Arcadecore	2	2	2
Arcadecore	Casino	2	2	2
Arcadecore	Cuddle Party	2	1	3
Arcadecore	Cyberdelic	2	2	1
Arcadecore	Cybergoth	2	2	2
Arcadecore	Cyberpunk	2	3	2
Arcadecore	Fanfare	1	3	3
Arcadecore	Future Funk	2	2	2
Arcadecore	Glitch Art	2	2	2
Arcadecore	Kidcore	2	2	3
Arcadecore	Mallgoth	1	2	1
Arcadecore	Nostalgiacore	1	1	1
Arcadecore	Scene	2	2	2
Arcadecore	Synthwave	2	2	1
Arcadecore	Tweencore	1	2	1
Arcadecore	Vacation Dadcore	2	2	3
Arcadecore	Vaporwave	2	2	1
Arcadecore	Webcore	2	2	2
Arcadecore	Y2K Futurism	2	2	1
Art Academia	Art Hoe	2	2	2
Art Academia	Ballet Academia	2	2	2
Art Academia	Chaotic Academia	2	2	2
Art Academia	Dark Academia	2	2	2
Art Academia	Figuration Narrative	2	2	2
Art Academia	Light Academia	2	3	2
Art Academia	Musical Academia	2	1	2
Art Academia	Studyblr	1	1	1
Art Academia	Utopian Scholastic	2	2	1
Art Academia	Art Deco	2	2	2
Art Deco	Art Nouveau	2	3	1
Art Deco	Barber Salon	2	2	2
Art Deco	Cubism	1	1	1
Art Deco	Decopunk	2	1	1
Art Deco	Dieselpunk	2	3	1
Art Deco	Flapper	1	3	2
Art Deco	Futurism	2	2	2
Art Deco	Hollywood Regency	2	2	2
Art Deco	Nautical	2	2	2
Art Deco	New Look	2	2	2
Art Deco	Modernisme	2	2	2
Art Deco	Plakatstil	2	2	3
Art Deco	Preppy	1	1	2
Art Deco	Seiz Breur	2	4	2
Art Deco	Streamline Moderne	2	2	3
Art Deco	Taisho Roman	1	2	2
Art Hoe	Cottagecore	2	2	2
Art Hoe	E-Boy	1	2	1
Art Hoe	Hippie	2	2	2
Art Hoe	Indie	2	2	2
Art Hoe	Indie Sleaze	2	1	1
Art Hoe	Normcore	2	2	2
Art Hoe	Peoplehood	2	2	2
Art Hoe	Picniccore	2	2	2
Art Hoe	Plant Mom	2	2	2
Art Hoe	Scrapbook	2	2	1
Art Hoe	Soft Boy	2	2	1
Art Hoe	Soft Girl	2	2	1
Art Hoe	VSCO Girl	2	2	2
Art Nouveau	Modernisme	2	2	1
Art Academia	Art Nouveau	2	2	1
Art Nouveau	Ballet Academia	2	3	1
Art Nouveau	Bohemian	2	2	1
Art Nouveau	Burlesque	1	2	1
Art Nouveau	Fairycore	2	3	1
Art Nouveau	New Look	2	2	1
Art Nouveau	Romantic Academia	2	3	1
Art Nouveau	Young Poland	2	3	1
Art Nouveau	Zakopane Style	2	3	1
Art Singulier	Cubism	1	1	1
Art Singulier	Lowbrow	2	2	2
Art Singulier	Superflat	2	1	2
Art Singulier	Surrealism	2	1	2
Angelcore	Artcore	2	2	2
Artcore	Baroque	1	4	2
Artcore	Dreamy	2	2	2
Artcore	Ethereal	2	3	2
Artcore	Gothic	2	3	2
Artcore	Lolita	2	2	2
Artcore	Italian Renaissance	1	1	2
Arte Povera	Dau al Set	2	1	2
Arte Povera	Industrial Decay	2	2	2
Arte Povera	Minimalism	2	2	3
Arte Povera	Nouveau Réalisme	2	2	2
Arts and Crafts	Victorian	1	1	1
Art Nouveau	Arts and Crafts	1	1	1
Arts and Crafts	Modernisme	1	1	1
Arts and Crafts	Pre-Raphaelite	1	1	1
Arts and Crafts	Seiz Breur	1	1	1
Arts and Crafts	Young Poland	1	1	1
Arts and Crafts	Zakopane Style	1	1	1
Asian Baby Girl	Baddie	2	3	2
Asian Baby Girl	Femme Fatale	2	2	2
Asian Baby Girl	Sukeban	2	2	2
Asian Baby Girl	Boujee	2	2	2
Asian Baby Girl	Yabi	2	3	2
Atompunk	Cyberpunk	2	1	2
Atompunk	Decopunk	2	1	1
Atompunk	Dieselpunk	2	1	1
Atompunk	Modernism	1	1	2
Atompunk	Nuclear	1	1	2
Atompunk	Punk	2	1	2
Atompunk	Raygun Gothic	3	1	3
Atompunk	Retrofuturism	2	1	1
Atompunk	Rocketpunk	3	1	2
Angelcore	Auroracore	3	2	2
Art Nouveau	Auroracore	2	2	1
Auroracore	Dreamy	4	2	2
Auroracore	Ethereal	2	2	3
Auroracore	Fantasy	3	1	2
Auroracore	Fairycore	3	2	2
Auroracore	Fairy Kei	2	2	1
Auroracore	Galaxy Hipster	2	2	2
Auroracore	Pastel Goth	2	2	1
Auroracore	Princesscore	2	2	2
Auroracore	Spacecore	1	2	1
Auroracore	Unicorncore	2	2	2
Australiana	Surf Crush	2	2	2
Australiana	Vacation Dadcore	2	2	2
Autumn	Christian Girl Autumn	1	1	1
Autumn	Naturecore	1	2	2
Autumn	Twilightcore	1	4	2
Autumn	Tuscan Rustic	1	2	3
Autumn	Comfy/Cozy	1	3	2
Autumn	Halloween	1	3	2
Autumn	Hygge	1	2	2
Autumn	Winter	1	4	2
Autumn	Maillard Style	1	3	1
Autumn	Summer	1	3	1
Autumn	Spring	1	3	2
Avant Apocalypse	Fairy Grunge	2	2	1
Avant Apocalypse	Plaguecore	2	3	2
Avant Apocalypse	Post-Apocalyptic	2	3	2
Avant Apocalypse	Soft Apocalypse	2	3	2
Avant Apocalypse	Solarpunk	2	2	2
Avant Apocalypse	Y2K Futurism	2	3	1
2020 TikTok	Avant Basic	1	1	1
Avant Basic	Danish Pastel	2	2	1
Avant Basic	Gen Z Maximalism	1	2	3
Avant Basic	Indie Kid	2	2	2
Avant Basic	Kidcore	2	2	2
Avant Basic	Maximalism	2	1	2
Avant Basic	Memphis Design	2	2	2
Avant Basic	Mid-Century Modern	1	1	1
Avant Basic	Neubrutalism	2	2	2
Avant Basic	Psychedelia	2	1	2
Avant Basic	Vaporwave	2	2	1
Avant Basic	Y2K Futurism	2	2	1
B-Movie Horror	Horror	2	1	1
B-Movie Horror	Devilcore	2	1	1
B-Movie Horror	Gorecore	2	1	1
B-Movie Horror	Gothic	2	1	1
B-Movie Horror	Halloween	2	1	1
B-Movie Horror	Psychobilly	2	1	1
B-Movie Horror	Vampire	2	1	1
B-Movie Horror	Werewolf	2	1	1
B-Movie Horror	Witchcore	2	1	1
Babycore	Babygirl	2	4	2
Babycore	Kawaii	2	2	2
Babycore	Kidcore	2	2	2
Babycore	Sanriocore	3	2	2
Babycore	Yume Kawaii	2	2	2
Babycore	Delicate Sweet	2	3	3
Babygirl	Baddie	2	2	2
Babygirl	Bubblegum Bitch	3	3	2
Babygirl	Bubblegum Coquette	2	3	1
Babygirl	Dolly Girl	2	3	2
Babygirl	Erokawa	1	2	1
Babygirl	E-Girl	1	1	2
Babygirl	Lovecore	2	4	2
Babygirl	Nymphet	2	3	1
Babygirl	Neko	2	3	2
Babygirl	Pastel Academia	2	2	2
Babygirl	Pastel Goth	2	3	1
Babygirl	Princesscore	2	3	2
Babygirl	Sanriocore	2	2	2
Babygirl	Slutcore	2	4	3
Babygirl	Soft Boy	2	2	1
Babygirl	Soft Girl	3	3	1
Babygirl	Unicorncore	2	5	2
Babygirl	Trailer Park Princess	2	2	2
Baddie	Barbiecore	1	2	2
Baddie	Bimbocore	2	2	2
Baddie	Cherry Emoji Twitter	2	2	2
Baddie	Chonga	2	2	2
Baddie	Femme Fatale	2	2	2
Baddie	McBling	3	4	2
Baddie	Paty de SP	2	3	2
Baddie	Boujee	2	2	2
Baddie	Chic Modernist	1	2	2
Balearic Beat	Bohemian	2	1	2
Balearic Beat	Club	1	1	2
Balearic Beat	Disco	2	1	2
Balearic Beat	Hippie	2	1	2
Balearic Beat	Italo Disco	1	1	1
Balearic Beat	Memphis Design	2	1	2
Balearic Beat	New Age	2	1	2
Balearic Beat	New Beat	2	1	2
Balearic Beat	Psychedelia	2	1	2
Balearic Beat	Summer	2	1	1
Balearic Beat	Synthwave	2	1	1
Balearic Beat	Tropical	2	1	2
Balearic Beat	Vacation Dadcore	2	1	3
Balearic Beat	Vaporwave	2	1	1
Ballet Academia	Balletcore	2	3	2
Ballet Academia	Dark Academia	2	3	2
Ballet Academia	Light Academia	2	3	2
Ballet Academia	Theatre Academia	2	3	2
Ballet Academia	Ethereal	2	3	2
Ballet Academia	Pink Parisian	2	2	2
Ballet Academia	Romantic Academia	2	4	2
Ballet Academia	Romantic Goth	2	2	2
Ballet Academia	Fairycore	2	4	2
Ballet Academia	Fantasy	2	1	2
Ballet Academia	Dark Fantasy	2	2	2
Balletcore	Coquette	1	1	1
Balletcore	Cult Party Kei	2	2	1
Balletcore	Dollcore	2	1	1
Balletcore	Dollette	2	4	2
Balletcore	French Girly	2	5	1
Balletcore	Larme Kei	2	2	2
Balletcore	Tenniscore	2	2	2
Ballroom Culture	Burlesque	1	2	2
Ballroom Culture	Cyber Ghetto	2	2	2
Ballroom Culture	Disco	2	2	2
Ballroom Culture	Hip-Hop	2	2	4
Ballroom Culture	Queercore	2	2	2
Bankara	Yanki	1	2	2
Bankara	Taisho Roman	1	2	2
Americana	Barber Salon	2	3	2
Barber Salon	Gothic	2	3	2
Barber Salon	Minimalism	2	3	2
Barber Salon	Retrofuturism	2	2	1
Barber Salon	Rustic	2	2	2
Barber Salon	Scandinavian Design	2	2	2
Barber Salon	Steampunk	2	2	2
Barber Salon	Vaporwave	2	3	1
Barber Salon	Victorian	2	5	2
Barbiecore	Basic Girl	1	2	2
Barbiecore	Bimbocore	1	2	2
Barbiecore	Brazilian Bombshell	1	2	2
Barbiecore	Bubblegum Bitch	1	3	2
Barbiecore	Bubblegum Dance	1	2	2
Barbiecore	Coconut Girl	1	2	2
Barbiecore	Equestrian	1	2	1
Barbiecore	Holosexual	1	2	1
Barbiecore	Hyperpop	1	2	2
Barbiecore	Living Doll	1	2	3
Barbiecore	McBling	1	2	2
Barbiecore	Sanriocore	1	2	2
Barbiecore	Tenniscore	1	2	2
Barbiecore	Unicorncore	1	2	2
Bardcore	Dragoncore	2	2	2
Bardcore	Dungeonpunk	2	1	2
Bardcore	Fantasy	2	1	2
Bardcore	Knightcore	1	2	2
Bardcore	Medieval	1	1	2
Bardcore	Medieval Fantasy	2	2	2
Art Academia	Baroque	1	3	2
Baroque	Chicha	1	6	2
Baroque	Classicism	1	2	2
Baroque	Ethereal	1	3	2
Baroque	Hollywood Regency	1	3	3
Baroque	Kingcore	1	6	2
Baroque	Modernisme	1	2	2
Baroque	Princecore	1	8	2
Baroque	Princesscore	1	4	2
Baroque	Queencore	1	2	2
Baroque	Rococo	1	2	2
Baroque	Royalcore	1	6	2
Baroque	Spanish Golden Age	1	4	2
Basic Girl	Galaxy Hipster	2	2	2
Basic Girl	Normcore	2	2	2
Basic Girl	VSCO Girl	2	2	2
Alternative	Basque Radical Rock	1	2	2
Basque Radical Rock	Bravú	2	1	2
Basque Radical Rock	Caricaturism	2	1	2
Basque Radical Rock	Punk	2	2	2
Basque Radical Rock	Rude Boy	2	2	2
Avant-garde	Bauhaus	1	1	2
Bauhaus	Constructivism	1	1	1
Bauhaus	De Stijl	1	2	1
Bauhaus	International Typographic Style	1	1	2
Bauhaus	Purism	1	1	1
Bauhaus	Modernism	1	1	2
Bauhaus	Plakatstil	1	2	2
Bauhaus	Renovador Movement	1	1	2
Bauhaus	Suprematism	1	1	1
Bauhaus	Zenitism	1	2	2
Beach Day	Summer	2	2	1
Beach Day	Tropical	3	3	2
Beach Day	Surfer	2	2	2
Beach Day	Surf Crush	2	3	2
Beatnik	Bohemian	2	2	2
Beatnik	Dark Academia	3	2	2
Beatnik	Hippie	2	2	2
Beatnik	Hipster	2	2	2
Beatnik	Post-Punk	1	1	1
Beatnik	Psychedelia	3	1	3
Beatnik	Rude Boy	2	2	2
Berlin Techno Fashion	Bondage	2	3	1
Berlin Techno Fashion	Cyberpunk	2	3	2
Berlin Techno Fashion	Electronic Body Music	2	3	2
Berlin Techno Fashion	Goth	2	3	2
Berlin Techno Fashion	Industrial	2	2	2
Berlin Techno Fashion	Minimalism	2	3	3
Berlin Techno Fashion	New Wave	1	2	2
Berlin Techno Fashion	Rave	2	2	4
Berlin Techno Fashion	Rivethead	2	3	2
Berlin Techno Fashion	Techwear	1	2	3
Biker	Bosozoku	1	1	1
Biker	Grunge	2	3	1
Biker	Gyaru	2	3	1
Biker	Metal	1	4	1
Biker	Punk	2	2	1
Biker	Racing	2	2	1
Biker	Raggare	2	2	1
Biker	Surfer	2	2	1
Alternative	Bimbocore	1	2	2
Bimbocore	Brazilian Bombshell	2	2	2
Bimbocore	Bubblegum Bitch	3	2	2
Bimbocore	Bubblegum Coquette	2	2	1
Bimbocore	Chonga	2	2	2
Bimbocore	Glitter Graphics	3	2	2
Bimbocore	Hyperpop	2	3	2
Bimbocore	Living Doll	2	3	2
Bimbocore	McBling	2	3	2
Biopunk	Cybergoth	1	1	2
Biopunk	Cyberprep	1	1	2
Biopunk	Cyberpunk	1	1	2
Biopunk	Dieselpunk	1	1	1
Biopunk	Science Academia	1	1	2
Biopunk	Seapunk	1	1	2
Biopunk	Solarpunk	1	1	2
Biopunk	Stalker	1	1	2
Biopunk	Steampunk	1	1	2
Black Ivy	Preppy	1	1	2
Black Ivy	Disco	2	2	2
Black Ivy	Hip-Hop	2	2	3
Black Ivy	Vintage British Sportsman	2	2	2
Black Metal	Metal	1	3	1
Black Metal	Dungeon Synth	1	1	1
Alternative	Bloghouse	1	1	2
Bloghouse	Club	1	1	2
Bloghouse	Disco	2	1	2
Bloghouse	Electroclash	2	1	2
Bloghouse	Emo	1	1	1
Bloghouse	Frutiger Metro	2	1	1
Bloghouse	Hipster	2	1	2
Bloghouse	Indie	2	1	2
Bloghouse	Indie Sleaze	3	1	1
Bloghouse	Juggalo	2	1	1
Bloghouse	New Rave	2	1	2
Bloghouse	Scene	2	1	2
Bloghouse	Tecktonik	2	1	1
Bloghouse	Y2K	1	1	1
Anglo Gothic	Blokecore	2	2	2
Blokecore	Blokette	2	2	2
Blokecore	Britpop	1	1	1
Blokecore	Casuals	2	2	2
Blokecore	Jock	2	2	2
Blokecore	Madchester	2	2	2
Blokecore	Paninaro	1	2	2
Blokecore	Tenniscore	2	2	2
Blokecore	Ultras	2	2	2
Blokecore	Urbancore	2	2	2
Androgynous	Blokette	2	2	2
Balletcore	Blokette	2	3	2
Blokette	Coquette	1	1	1
Blokette	Tenniscore	2	3	2
Blokette	Ultras	2	2	2
Blokette	Waif	2	4	2
Bloomcore	Cottagecore	2	2	1
Bloomcore	Dreamy	2	2	1
Bloomcore	Fairy Academia	2	2	1
Bloomcore	Fairycore	2	2	1
Bloomcore	Green Academia	2	2	1
Bloomcore	Honeycore	1	2	1
Bloomcore	Lovecore	2	2	1
Bloomcore	Mossy	2	2	1
Bloomcore	Naturecore	3	2	1
Bloomcore	Romantic Academia	2	2	1
Bloomcore	Spring	2	3	1
Bloomcore	Witchcore	2	2	1
Bodikon	City Pop	1	1	1
Bodikon	Italo Disco	1	1	1
Bodikon	Takenokozoku	1	2	2
Bodikon	Club	1	1	2
Bodikon	Gyaru	1	2	2
Bodikon	Kogal	1	2	2
Alternative	Bohemian	1	2	2
Bohemian	Cottagecore	2	2	2
Bohemian	Granola	2	3	2
Bohemian	Hipness Purgatory	2	2	2
