text,href
2 Tone,https://aesthetics.fandom.com/wiki/2_Tone
2000s Preppy,https://aesthetics.fandom.com/wiki/2000s_Preppy
2010s Bright Kawaii,https://aesthetics.fandom.com/wiki/2010s_Bright_Kawaii
2010s Meme Maximalism,https://aesthetics.fandom.com/wiki/2010s_Meme_Maximalism
2010s Soft Kawaii,https://aesthetics.fandom.com/wiki/2010s_Soft_Kawaii
2010s Summer Nostalgia,https://aesthetics.fandom.com/wiki/2010s_Summer_Nostalgia
2014 Girly,https://aesthetics.fandom.com/wiki/2014_Girly
50s Suburbia,https://aesthetics.fandom.com/wiki/50s_Suburbia
8-Bit,https://aesthetics.fandom.com/wiki/8-Bit
80s Workout,https://aesthetics.fandom.com/wiki/80s_Workout
90s Cool,https://aesthetics.fandom.com/wiki/90s_Cool
Abstract Tech,https://aesthetics.fandom.com/wiki/Abstract_Tech
Acid Design,https://aesthetics.fandom.com/wiki/Acid_Design
Acid House,https://aesthetics.fandom.com/wiki/Acid_House
Adventurecore,https://aesthetics.fandom.com/wiki/Adventurecore
Adventure Pulp,https://aesthetics.fandom.com/wiki/Adventure_Pulp
Aespacore,https://aesthetics.fandom.com/wiki/Aespacore
Aestheticism,https://aesthetics.fandom.com/wiki/Aestheticism
Aetherpunk,https://aesthetics.fandom.com/wiki/Aetherpunk
Afrofuturism,https://aesthetics.fandom.com/wiki/Afrofuturism
Afropunk,https://aesthetics.fandom.com/wiki/Afropunk
After Hours,https://aesthetics.fandom.com/wiki/After_Hours
Agejo,https://aesthetics.fandom.com/wiki/Agejo
Ah Beng,https://aesthetics.fandom.com/wiki/Ah_Beng
Akibapop,https://aesthetics.fandom.com/wiki/Akibapop
Aliencore,https://aesthetics.fandom.com/wiki/Aliencore
Aliyahcore,https://aesthetics.fandom.com/wiki/Aliyahcore
Alternative,https://aesthetics.fandom.com/wiki/Alternative
Alt Kid,https://aesthetics.fandom.com/wiki/Alt_Kid
Amekaji,https://aesthetics.fandom.com/wiki/Amekaji
American Kitsch,https://aesthetics.fandom.com/wiki/American_Kitsch
American Pioneers,https://aesthetics.fandom.com/wiki/American_Pioneers
American Thanksgiving,https://aesthetics.fandom.com/wiki/American_Thanksgiving
Analog Horror,https://aesthetics.fandom.com/wiki/Analog_Horror
Anarcho-Punk,https://aesthetics.fandom.com/wiki/Anarcho-Punk
Ancient Egypt,https://aesthetics.fandom.com/wiki/Ancient_Egypt
Androgynous,https://aesthetics.fandom.com/wiki/Androgynous
Angelcore,https://aesthetics.fandom.com/wiki/Angelcore
Anglo Gothic,https://aesthetics.fandom.com/wiki/Anglo_Gothic
Angura,https://aesthetics.fandom.com/wiki/Angura
Animecore,https://aesthetics.fandom.com/wiki/Animecore
Antwerp Six,https://aesthetics.fandom.com/wiki/Antwerp_Six
Appalachian Gothic,https://aesthetics.fandom.com/wiki/Appalachian_Gothic
Après-ski,https://aesthetics.fandom.com/wiki/Apr%C3%A8s-ski
Arabian Nights,https://aesthetics.fandom.com/wiki/Arabian_Nights
Arcadecore,https://aesthetics.fandom.com/wiki/Arcadecore
Aristocrat,https://aesthetics.fandom.com/wiki/Aristocrat
Art Academia,https://aesthetics.fandom.com/wiki/Art_Academia
Artcore,https://aesthetics.fandom.com/wiki/Artcore
Art Deco,https://aesthetics.fandom.com/wiki/Art_Deco
Arte Povera,https://aesthetics.fandom.com/wiki/Arte_Povera
Art Hoe,https://aesthetics.fandom.com/wiki/Art_Hoe
Art Nouveau,https://aesthetics.fandom.com/wiki/Art_Nouveau
Arts and Crafts,https://aesthetics.fandom.com/wiki/Arts_and_Crafts
Art Singulier,https://aesthetics.fandom.com/wiki/Art_Singulier
Asian Baby Girl,https://aesthetics.fandom.com/wiki/Asian_Baby_Girl
Atomic Age,https://aesthetics.fandom.com/wiki/Atomic_Age
Atompunk,https://aesthetics.fandom.com/wiki/Atompunk
Auroracore,https://aesthetics.fandom.com/wiki/Auroracore
Australiana,https://aesthetics.fandom.com/wiki/Australiana
Autumn Aesthetic,https://aesthetics.fandom.com/wiki/Autumn_Aesthetic
Avant Apocalypse,https://aesthetics.fandom.com/wiki/Avant_Apocalypse
Avant Basic,https://aesthetics.fandom.com/wiki/Avant_Basic
Avantropop,https://aesthetics.fandom.com/wiki/Avantropop
Babycore,https://aesthetics.fandom.com/wiki/Babycore
Babygirl,https://aesthetics.fandom.com/wiki/Babygirl
